"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","initial-clouds*","CO2-amount*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","136","500","3.8000000000000003","0.05","7","0","""-1592500677""","29.76434163440885","29.76434163440885","29.76434163440885","0","29.76434163440885"
"1","137","500","3.8000000000000003","0.05","7","0","""-860509391""","34.06368864198515","34.06368864198515","34.06368864198515","0","34.06368864198515"
"1","138","500","3.8000000000000003","0.05","7","0","""949846889""","33.12086266686896","33.12086266686896","33.12086266686896","0","33.12086266686896"
"1","139","500","3.8000000000000003","0.05","7","0","""-1863483049""","30.157423747093624","30.157423747093624","30.157423747093624","0","30.157423747093624"
"1","140","500","3.8000000000000003","0.05","7","0","""1056383913""","33.058468833388346","33.058468833388346","33.058468833388346","0","33.058468833388346"
"1","141","500","0","0.65","9","75","""-789947472""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","142","500","0","0.65","9","75","""1175711932""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","143","500","0","0.65","9","75","""-1490594397""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","144","500","0","0.65","9","75","""1121066746""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","145","500","0","0.65","9","75","""-154374292""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","146","500","0","0.65","9","75","""1014713618""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","147","500","0","0.65","9","75","""56066212""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","148","500","0","0.65","9","75","""-1064627006""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","149","500","0","0.65","9","75","""-1037612885""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","150","500","0","0.65","9","75","""993031360""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","151","500","3.6","0","0","150","""364096912""","48.74750156896463","48.74750156896463","48.74750156896463","0","48.74750156896463"
"1","152","500","3.6","0","0","150","""108803259""","46.73790799114574","46.73790799114574","46.73790799114574","0","46.73790799114574"
"1","153","500","3.6","0","0","150","""-1071755625""","46.619083722408334","46.619083722408334","46.619083722408334","0","46.619083722408334"
"1","154","500","3.6","0","0","150","""1955844022""","46.796642210455","46.796642210455","46.796642210455","0","46.796642210455"
"1","155","500","3.6","0","0","150","""1543460718""","48.89660059113751","48.89660059113751","48.89660059113751","0","48.89660059113751"
"1","156","500","3.6","0","0","150","""-2065187628""","45.35577640872878","45.35577640872878","45.35577640872878","0","45.35577640872878"
"1","157","500","3.6","0","0","150","""-1673375443""","46.57753537217519","46.57753537217519","46.57753537217519","0","46.57753537217519"
"1","158","500","3.6","0","0","150","""-1687607690""","48.106532476389226","48.106532476389226","48.106532476389226","0","48.106532476389226"
"1","159","500","3.6","0","0","150","""1027960743""","45.943510844924674","45.943510844924674","45.943510844924674","0","45.943510844924674"
"1","160","500","3.6","0","0","150","""-1034472109""","46.933536960848315","46.933536960848315","46.933536960848315","0","46.933536960848315"
"1","161","500","4.6000000000000005","0.1","4","200","""-1947426129""","39.294759848841856","39.294759848841856","39.294759848841856","0","39.294759848841856"
"1","162","500","4.6000000000000005","0.1","4","200","""895789059""","41.90799433691845","41.90799433691845","41.90799433691845","0","41.90799433691845"
"1","163","500","4.6000000000000005","0.1","4","200","""-2040159713""","37.563478999396935","37.563478999396935","37.563478999396935","0","37.563478999396935"
"1","164","500","4.6000000000000005","0.1","4","200","""-2052922024""","34.00321921804121","34.00321921804121","34.00321921804121","0","34.00321921804121"
"1","165","500","4.6000000000000005","0.1","4","200","""-1848173928""","35.0963611331078","35.0963611331078","35.0963611331078","0","35.0963611331078"
"1","166","500","4.6000000000000005","0.1","4","200","""-714230131""","37.18766457957163","37.18766457957163","37.18766457957163","0","37.18766457957163"
"1","167","500","4.6000000000000005","0.1","4","200","""2056652250""","43.72271878679714","43.72271878679714","43.72271878679714","0","43.72271878679714"
"1","168","500","4.6000000000000005","0.1","4","200","""299347513""","41.14503246274792","41.14503246274792","41.14503246274792","0","41.14503246274792"
"1","169","500","4.6000000000000005","0.1","4","200","""-1597902832""","35.85147182275082","35.85147182275082","35.85147182275082","0","35.85147182275082"
"1","170","500","4.6000000000000005","0.1","4","200","""-34794376""","41.12010523146092","41.12010523146092","41.12010523146092","0","41.12010523146092"
